id_medico,id_persona,id_especialidad
1,193,904
2,194,767
3,207,5
4,132,558
5,354,349
6,553,842
7,995,641
8,435,608
9,122,476
10,584,776
11,879,957
12,412,958
13,295,720
14,907,87
15,333,430
16,862,172
17,403,572
18,723,193
19,411,164
20,735,419
21,885,509
22,372,720
23,845,55
24,720,524
25,493,837
26,468,120
27,788,549
28,811,836
29,908,692
30,148,993
31,666,577
32,349,160
33,27,101
34,422,622
35,137,369
36,200,906
37,255,635
38,132,105
39,250,819
40,38,131
41,526,277
42,543,297
43,620,326
44,612,510
45,47,213
46,616,319
47,149,946
48,508,673
49,561,674
50,721,808
51,734,490
52,854,570
53,102,668
54,197,338
55,565,671
56,578,647
57,438,861
58,506,758
59,931,303
60,646,404
61,555,654
62,909,603
63,54,686
64,489,474
65,416,574
66,545,447
67,603,54
68,794,966
69,110,298
70,129,801
71,842,531
72,74,905
73,850,507
74,482,359
75,720,190
76,136,534
77,981,728
78,19,728
79,780,926
80,294,415
81,114,929
82,277,542
83,806,643
84,167,816
85,395,356
86,157,230
87,699,885
88,25,600
89,431,55
90,128,984
91,837,862
92,509,745
93,845,305
94,703,926
95,210,690
96,802,381
97,788,766
98,223,621
99,939,336
100,625,415
101,471,186
102,928,65
103,638,628
104,434,191
105,901,171
106,677,546
107,620,57
108,554,158
109,276,154
110,184,950
111,38,514
112,372,619
113,465,235
114,686,417
115,577,19
116,258,841
117,487,539
118,215,286
119,640,8
120,303,764
121,940,246
122,17,601
123,491,904
124,764,196
125,361,732
126,742,173
127,263,702
128,594,981
129,398,278
130,57,469
131,227,506
132,733,568
133,314,460
134,560,566
135,275,922
136,965,484
137,948,406
138,813,79
139,938,456
140,431,461
141,823,920
142,801,391
143,408,964
144,186,905
145,620,492
146,962,230
147,165,704
148,970,579
149,708,682
150,813,644
151,381,313
152,760,50
153,802,338
154,489,449
155,184,474
156,660,486
157,635,57
158,953,937
159,21,729
160,809,324
161,341,635
162,167,217
163,394,304
164,152,652
165,953,809
166,487,809
167,74,716
