id_personal,id_persona,rol
1,83522,Administrador
2,20632,Enfermero
3,25319,Recepcionista
4,88820,Enfermero
5,3454,Recepcionista
6,80936,Enfermero
7,76779,Administrador
8,47739,Recepcionista
9,37330,Recepcionista
10,1386,Administrador
11,20220,Recepcionista
12,30174,Administrador
13,60750,Recepcionista
14,97809,Enfermero
15,99501,Enfermero
16,56256,Enfermero
17,7479,Enfermero
18,56214,Enfermero
19,93110,Administrador
20,5884,Recepcionista
21,69224,Administrador
22,17851,Administrador
23,48364,Enfermero
24,46170,Enfermero
25,86780,Recepcionista
26,56538,Administrador
27,2170,Enfermero
28,47814,Administrador
29,59835,Enfermero
30,2163,Administrador
31,36667,Recepcionista
32,58192,Recepcionista
33,1397,Enfermero
34,55581,Enfermero
35,95897,Recepcionista
36,94079,Enfermero
37,40031,Recepcionista
38,90872,Administrador
39,2432,Administrador
40,82612,Recepcionista
41,97629,Recepcionista
42,88212,Enfermero
43,82725,Recepcionista
44,73137,Enfermero
45,69656,Administrador
46,56910,Enfermero
47,94441,Recepcionista
48,12526,Recepcionista
49,37742,Administrador
50,81079,Enfermero
51,58149,Recepcionista
52,55049,Administrador
53,56366,Enfermero
54,51697,Recepcionista
55,25712,Enfermero
56,17664,Administrador
57,87457,Enfermero
58,55134,Administrador
59,8928,Administrador
60,47790,Recepcionista
61,80829,Administrador
62,41526,Enfermero
63,73062,Administrador
64,1387,Administrador
65,89874,Recepcionista
66,2294,Recepcionista
67,26028,Administrador
68,10523,Enfermero
69,6797,Enfermero
70,51029,Recepcionista
71,6442,Recepcionista
72,27248,Recepcionista
73,34165,Recepcionista
74,57799,Enfermero
75,9202,Enfermero
76,33822,Enfermero
77,60197,Enfermero
78,30749,Administrador
79,25898,Enfermero
80,56371,Enfermero
81,32339,Administrador
82,63711,Enfermero
83,21367,Enfermero
84,97985,Recepcionista
85,64202,Recepcionista
86,35106,Enfermero
87,99806,Enfermero
88,30918,Recepcionista
89,22212,Administrador
90,25432,Enfermero
91,97524,Enfermero
92,66123,Administrador
93,80744,Recepcionista
94,31975,Enfermero
95,14014,Enfermero
96,38564,Recepcionista
97,15831,Recepcionista
98,53164,Enfermero
99,58337,Enfermero
100,73918,Administrador
101,48810,Recepcionista
